Year,Accounting Controversies,Adj_Close,Adj_High,Adj_Low,Adj_Open,Adj_Volume,Agrochemical 5 % Revenue,Agrochemical Products,Alcohol,Animal Testing,Animal Testing Cosmetics,Animal Testing Reduction,Announced Layoffs To Total Employees,Anti Takeover Devices Above Two,Anti-Competition Controversies Count,Anti-Personal Landmines,Anti-competition Controversies,Armaments,Audit Board Committee,Audit Committee Expertise,Audit Committee Independence,Audit Committee Mgt Independence,Audit Committee NonExecutive Members,Biodiversity Impact Reduction,Board Attendance,Board Background and Skills,Board Functions Policy,"Board Gender Diversity, Percent",Board Individual Reelection,Board Member Affiliations,Board Member Term Duration,Board Size,Board Size More Ten Less Eight,"Board Specific Skills, Percent",Board Structure Policy,"Bribery, Corruption and Fraud Controversies",CEO Compensation Link to TSR,CEO-Chairman Separation,CSR Strategy Score,CSR Sustainability Committee,CSR Sustainability External Audit,CSR Sustainability Reporting,Chairman is ex-CEO,Climate Change Commercial Risks Opportunities,Close,Cluster Bombs,Community Score,Compensation Board Committee,Compensation Committee Independence,Compensation Committee Mgt Independence,Compensation Committee NonExecutive Members,Compensation Improvement Tools,Consumer Complaints Controversies,Contraceptives,Corporate Governance Board Committee,Corporate Responsibility Awards,Crisis Management Systems,Date,Day Care Services,Director Election Majority Requirement,Diseases of the Developing World,Dividend,Dual Class Stock,ESG Controversies Score,ESG Period Last Update Date,Earnings Restatement,Eco-Design Products,Embryonic Stem Cell Research,Emissions Score,Emissions Trading,Employee Engagement Voluntary Work,Employees Health & Safety OHSAS 18001,Employees Health & Safety Team,Env Supply Chain Partnership Termination,Environment Management Team,Environment Management Training,Environment Pillar Score,Environmental Assets Under Mgt,Environmental Controversies,Environmental Expenditures Investments,Environmental Investments Initiatives,Environmental Materials Sourcing,Environmental Partnerships,Environmental Products,Environmental Project Financing,Environmental Restoration Initiatives,Environmental Supply Chain Management,Equal Voting Rights,Equator Principles,Ethical Trading Initiative ETI,Executive Compensation Controversies,Executive Compensation LT Objectives,Executive Compensation Policy,Executive Individual Compensation,"Executive Members Gender Diversity, Percent",External Consultants,Extractive Industries Transparency Initiative,Flexible Working Hours,Fundamental Human Rights ILO UN,GMO Products,GRI Report Guidelines,Gambling,Global Compact Signatory,Governance Pillar Score,Green Buildings,HIV-AIDS Program,Health & Safety Policy,Health & Safety Training,Healthy Food or Products,High,Human Rights Breaches Contractor,Human Rights Contractor,Human Rights Policy,Human Rights Score,Hybrid Vehicles,ISO 14000 or EMS,ISO 9000,Improvement Tools Business Ethics,Independent Board Members,Innovation Score,Insider Dealings Controversies,Instrument,Integrated Strategy in MD&A,Internal Audit Department Reporting,Internal Promotion,Labeled Wood,Land Environmental Impact Reduction,Low,Management Departures,Management Score,Management Training,Minimum Number of Shares to Vote,NOx and SOx Emissions Reduction,Noise Reduction,Nomination Board Committee,Nomination Committee Mgt Independence,Non-Executive Board Members,Nuclear,OECD Guidelines for Multinational Enterprises,Obesity Risk,Open,Organic Products Initiatives,Particulate Matter Emissions Reduction,Period End Date,Policy Board Diversity,Policy Board Experience,Policy Board Independence,Policy Board Size,Policy Bribery and Corruption,Policy Business Ethics,Policy Career Development,Policy Child Labor,Policy Community Involvement,Policy Customer Health & Safety,Policy Data Privacy,Policy Diversity and Opportunity,Policy Emissions,Policy Employee Health & Safety,Policy Energy Efficiency,Policy Environmental Supply Chain,Policy Equal Voting Right,Policy Executive Compensation ESG Performance,Policy Executive Compensation Performance,Policy Executive Retention,Policy Fair Competition,Policy Fair Trade,Policy Forced Labor,Policy Freedom of Association,Policy Human Rights,Policy Responsible Marketing,Policy Shareholder Engagement,Policy Skills Training,Policy Supply Chain Health & Safety,Policy Sustainable Packaging,Policy Water Efficiency,Pornography,Product Access Low Price,Product Environmental Responsible Use,Product Impact Minimization,Product Quality Controversies,Product Recall,Product Responsibility Monitoring,Product Responsibility Score,Product Sales at Discount to Emerging Markets,Profit Warnings,Public Availability Corporate Statutes,Quality Mgt Systems,Renewable Energy Use,Renewable/Clean Energy Products,Resource Reduction Policy,Resource Reduction Targets,Resource Use Score,Retailing Responsibility,Shareholder Rights Policy,Shareholders Approval Stock Compensation Plan,Shareholders Score,Shareholders Vote on Executive Pay,Six Sigma and Quality Mgt Systems,Social Pillar Score,Split,Staff Transportation Impact Reduction,Stakeholder Engagement,Strikes,Succession Plan,Supplier ESG training,Supply Chain Health & Safety Training,Sustainability Compensation Incentives,Sustainable Building Products,TRESG Combined Score,TRESG Score,Take-back and Recycling Initiatives,Tobacco,Toxic Chemicals Reduction,Training and Development Policy,VOC Emissions Reduction,Veto Power or Golden share,Volume,Voting Cap,Voting Cap Percentage,Wages Working Condition Controversies,Waste Reduction Initiatives,Water Technologies,Whistleblower Protection,Workforce Score,e-Waste Reduction
2010,,31.715138888888895,32.09823888888888,31.11382407407407,31.573703703703696,261411.11111111112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.715138888888895,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.09823888888888,,,,,,,,,,,,,,,,,,31.11382407407407,,,,,,,,,,,,,31.573703703703696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,261411.11111111112,,,,,,,,
2011,,45.68291666666668,46.818213095238086,44.53643730158728,45.68472222222217,831873.4126984127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.68291666666668,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.818213095238086,,,,,,,,,,,,,,,,,,44.53643730158728,,,,,,,,,,,,,45.68472222222217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,831873.4126984127,,,,,,,,
2012,,28.770482800000003,29.429041199999983,28.099852000000006,28.787997200000007,1021800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.770482800000003,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.429041199999983,,,,,,,,,,,,,,,,,,28.099852000000006,,,,,,,,,,,,,28.787997200000007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,1021800.0,,,,,,,,
2013,,48.2119126984127,48.92560277777779,47.41862301587303,48.16382936507939,701885.3174603175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.2119126984127,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.92560277777779,,,,,,,,,,,,,,,,,,47.41862301587303,,,,,,,,,,,,,48.16382936507939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,701885.3174603175,,,,,,,,
2014,,44.99398809523809,45.68534880952382,44.2723523809524,45.00555555555553,914228.880952381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.99398809523809,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.68534880952382,,,,,,,,,,,,,,,,,,44.2723523809524,,,,,,,,,,,,,45.00555555555553,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,914228.880952381,,,,,,,,
2015,False,44.07283730158727,44.5447257936508,43.557404761904785,44.03869047619043,443555.05555555556,False,False,False,False,False,False,0.0,8.0,False,False,False,False,True,True,100.0,True,100.0,False,False,True,False,22.2222222222222,False,0.454545454545454,3.0,9.0,0.0,36.3636363636363,True,False,True,True,30.9241706161137,False,,False,True,False,44.07283730158727,False,77.9411764705882,True,100.0,True,100.0,True,False,False,True,False,False,2015-12-31,False,True,False,0.0,False,61.7647058823529,2019-08-16T00:00:00,False,False,False,43.75,False,True,False,False,False,False,False,30.6660899653979,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,9.09090909090909,True,False,True,False,False,,False,False,29.8481081501048,False,False,False,False,False,44.5447257936508,False,False,False,21.3235294117647,False,No,False,True,81.8181818181818,32.7205882352941,False,SFLY.O,False,True,False,False,False,43.557404761904785,False,27.6362559241706,False,False,False,False,False,False,81.8181818181818,False,False,False,44.03869047619043,False,False,2015-12-31,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,47.0588235294117,False,False,True,False,False,False,False,False,14.3382352941176,False,True,True,35.1599526066351,True,False,42.1603148301573,1.0,True,False,False,True,False,False,False,False,34.5485259269584,34.5485259269584,False,False,False,False,False,False,443555.05555555556,False,100.0,False,False,False,True,28.3088235294117,False
2016,False,46.94519841269841,47.48210476190476,46.3603107142857,46.92603174603177,407680.74206349207,False,False,False,False,False,False,0.0,8.0,False,False,False,False,True,True,100.0,True,80.0,False,False,True,False,44.4444444444444,False,0.571428571428571,3.0,9.0,0.0,35.7142857142857,True,False,True,True,35.8157467532467,False,,False,True,False,46.94519841269841,False,76.8072289156626,True,100.0,True,100.0,True,False,False,True,False,False,2016-12-31,False,True,False,0.0,False,57.5301204819277,2019-09-06T00:00:00,False,False,False,45.4819277108433,False,True,False,False,False,False,False,32.1314670446491,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,False,9.09090909090909,True,False,True,False,False,,False,False,37.1809798807749,False,False,False,False,False,47.48210476190476,False,False,False,20.4819277108433,False,No,False,True,78.5714285714285,32.8313253012048,False,SFLY.O,False,True,False,False,False,46.3603107142857,False,30.3368506493506,False,False,False,False,False,False,71.4285714285714,False,False,False,46.92603174603177,False,False,2016-12-31,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,45.1807228915662,False,False,True,False,False,False,False,False,16.8674698795181,False,True,True,56.6355519480519,True,False,42.5250296962497,1.0,True,False,False,True,False,False,False,False,37.3612832009857,37.3612832009857,False,False,False,False,False,False,407680.74206349207,False,100.0,False,False,False,True,30.4216867469879,False
2017,False,47.53527888446217,47.98797808764939,47.04283266932272,47.48788844621514,584238.0836653387,False,False,False,False,False,False,0.0,8.0,False,False,False,False,True,True,100.0,True,75.0,False,False,True,False,40.0,False,0.7,3.0,10.0,0.0,30.0,True,False,True,False,36.2838332114118,False,,False,False,False,47.53527888446217,False,74.438202247191,True,100.0,True,100.0,True,False,False,True,False,False,2017-12-31,False,True,False,0.0,False,56.1797752808988,2019-09-06T00:00:00,False,False,False,44.1011235955056,False,True,False,False,False,False,False,32.5594844679444,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,15.3846153846153,True,False,True,False,False,,False,False,39.2902970487006,False,False,False,False,False,47.98797808764939,False,False,False,18.8202247191011,False,No,False,True,90.0,34.5505617977528,False,SFLY.O,False,True,False,False,False,47.04283266932272,False,43.4345281638624,False,False,False,False,False,False,70.0,False,False,False,47.48788844621514,False,False,2017-12-31,True,True,True,True,True,True,False,False,True,False,True,True,False,False,False,False,True,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,43.8202247191011,False,False,True,False,False,False,False,False,17.9775280898876,False,True,True,29.9743964886613,True,False,39.8282956163949,1.0,True,False,False,True,False,False,False,False,37.192810262775,37.192810262775,False,False,False,False,False,False,584238.0836653387,False,100.0,False,False,False,True,26.6853932584269,False
2018,,78.76025125628136,79.89157336683417,77.73964773869342,78.83261306532665,864920.1055276382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.76025125628136,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79.89157336683417,,,,,,,,,,,,,,,,,,77.73964773869342,,,,,,,,,,,,,78.83261306532665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,864920.1055276382,,,,,,,,
2013,False,15.238687020176766,15.401644997603952,15.037413230684308,15.216850013417135,6728681.617647059,False,False,False,False,False,False,0.0,8.0,False,False,False,False,True,True,100.0,True,100.0,False,False,True,True,25.0,True,1.16666666666666,1.0,12.0,2.0,58.3333333333333,True,False,True,False,51.0131712259371,False,,False,False,False,16.549529411764706,False,81.4159292035398,True,100.0,True,100.0,True,False,False,True,False,True,2013-06-30,False,True,False,0.0,True,61.504424778761,2019-09-27T00:00:00,False,False,False,3.98230088495575,False,True,False,False,False,False,False,21.4471629359708,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.0,True,False,False,False,False,,False,False,27.3780457421894,False,False,False,False,False,16.72650514705882,False,False,False,32.3008849557522,False,No,False,True,58.3333333333333,43.3628318584071,False,NWSA.O,True,True,False,False,False,16.330941911764707,False,30.2431610942249,False,False,False,False,True,True,83.3333333333333,False,False,False,16.525813970588228,False,False,2013-06-30,True,True,True,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,15.0442477876106,False,False,,False,False,False,False,False,18.5840707964601,False,True,True,4.40729483282674,False,False,35.1801071918234,1.0,False,False,False,True,False,False,False,False,28.1312774026952,28.1312774026952,False,False,False,False,False,False,6728681.617647059,False,100.0,False,False,False,True,21.6814159292035,False
